2014,4択,"A、B、Cなどのアルファベットを用いて日本語の音を表記したものを何という？
(1) 仮名 (2) 漢字 (3) 数字 (4) ローマ字",(4) ローマ字,,,タグ
2012,ノーマル,フィンランドのピルカンマー県にある都市で、携帯電話端末世界最大シェアを誇る会社にその名がつけられているのはどこでしょう？,ノキア
2012,ノーマル,発症時に高熱でぼんやりとする様子から「煙」を意味するギリシャ語にその名が由来する、パラ、腸、発疹の3種類に大別される法定伝染病は何でしょう？,チフス
2012,ノーマル,「泥にまみれ火に焼かれるよう」であることから、極めて苦しい状態のことを「何の苦しみ」というでしょう？,塗炭(とたん)の苦しみ(とたん(とたん)のくるしみ)
2012,ノーマル,古代朝鮮半島にあった「三韓」とは馬韓(ばかん)、辰韓(しんかん)とあと一つは何でしょう？,弁韓(べんかん)
2012,ノーマル,「百人一首」や「無学者」といった別名もある、在原業平の歌の解釈を語る落語の演目といえば何でしょう？,千早振る(ちはやふる)
2012,ノーマル,ワーグナーによるオペラも有名な、マルク王に使える円卓の騎士の一人と、彼が愛したアイルランドの王女を描いた物語は何でしょう？,『トリスタンとイゾルデ』
2012,ノーマル,よさこい祭りが行われるのは高知市ですが、YOSAKOIソーラン祭りが行われる都市はどこでしょう？,札幌(さっぽろ)
2012,ノーマル,『マボロシの鳥』『文明の子』という2作の小説も書いている、お笑いコンビ・爆笑問題のボケ担当は誰でしょう？,太田光(おおた・ひかり)
2012,ノーマル,国民から無作為に選ばれた 11人で構成される、検察官の不当な不起訴処分などを抑制するための機関は何でしょう？,検察審査会(けんさつしんさかい)
2012,ノーマル,七福神にちなんだ七種類の具材を巻き入れるのが定番である、節分の日に食べられる縁起物の太巻きは何でしょう？,恵方巻(えほうまき)
2012,ノーマル,ATPから女子部門の独立という形で設立された、女子プロテニスプレーヤーのランキングを発表している団体を、アルファベット3文字で何というでしょう？,WTA
2012,ノーマル,約 5000年前には天の北極付近にあり、北極星の役割を果たしていた、竜座のアルファ星は何でしょう？,ツバーン
2012,ノーマル,環境意識の高まりから増えている、環境にやさしい商品を優先的に購入する消費者のことを、英語で何というでしょう？,グリーンコンシューマー
2012,ノーマル,『想いあふれて』や『イパネマの娘』などが日本でもよく知られる、「新しい感覚」という意味の言葉にその名を因むブラジルの大衆歌謡は何でしょう？,ボサノヴァ
2012,ノーマル,グラゴル文字を基に/して作られたといわれている、ロシア語などのスラブ語圏で使用されている文字は何でしょう？,キリル文字(キリル)
2012,ノーマル,仏教書『立正安国論』を著したのは日蓮ですが、『立正治国論』を著した室町時代の日蓮宗の僧侶は誰でしょう？,日親(にっしん)
2012,ノーマル,1971年 7月 17日、グランド・ジョラスの北壁の登攀(とうはん)に成功し、女性で初めてヨーロッパアルプス三大北壁を制覇した日本の登山家は誰でしょう？,今井通子(いまい・みちこ)
2012,ノーマル,19世紀に医師エリアス・リョンロートによって編纂された、英雄ワイナミョイネンの冒険を描いたフィンランドの叙事詩は何でしょう？,『カレワラ』
2012,ノーマル,ぶつ切りにしたエビやカニを、殻つきのまま煮た料理を何というでしょう？,具足煮(ぐそくに)
2012,ノーマル,電気回路の実験でよく用いられる、電気信号の波形を表示するのに用いる装置は何でしょう？,オシロスコープ
2012,ノーマル,結婚式の受付などで、ゲストが名前を記入する帳簿のことを日本語で何というでしょう？,芳名帳(ほうめいちょう)
2012,ノーマル,段位とは別に与えられる剣道の3つの称号のうち、最も位が高いのは何でしょう？,範士(はんし)
2012,ノーマル,昨年9月3日、川崎市多摩区にオープンした、長年川崎市に住んでいたある漫画家に関する文化施設は何でしょう？,藤子・F・不二雄ミュージアム(ふじこ・F・ふじおみゅーじあむ)
2012,ノーマル,日本で販売されている郵便用普通切手で、1番安いのは1円切手ですが、2番目に安いのは何円切手でしょう？,3円切手(3えんきって)
2012,ノーマル,日本語では「求償貿易」ともいう、主に発展途上国との間で行われる、物々交換による貿易のことを何というでしょう？,バーター貿易(ばーたーぼうえき)
2012,ノーマル,俗に梅干しの種の中にいるといわれている神様は何でしょう？,天神様(てんじんさま)
2012,ノーマル,第1回ノーベル生理学・医学賞では受賞者候補にも挙がった、1894年にペスト菌を発見した日本の細菌学者は誰でしょう？,北里柴三郎(きたざとしばさぶろう)
2012,ノーマル,英語で、少数派を「マイノリティ」というのに対して、多数派の事を何というでしょう？,マジョリティ
2012,ノーマル,本名をウィリアム・フレデリック・コーディという、1年半で 4820頭もの野牛を殺したといわれる西部開拓時代のガンマンは誰でしょう？,バッファロー・ビル
2012,ノーマル,グノー作曲の『賛歌と教皇の行進曲』を国歌とする、/世界で面積が最も小さい国はどこでしょう？,バチカン市国(バチカン)
2012,ノーマル,このほど野球殿堂入りを果たした、広島のエースとして活躍し、そのコントロールから「精密機械」の異名を取った投手は誰でしょう？,北別府学(きたべっぷ・まなぶ)
2012,ノーマル,5000人以上の外国人タレントと契約を結んでおり、テレビ番組の再現ドラマなどに出演者を供給している日本の芸能事務所は何でしょう？,稲川素子(いながわもとこ)事務所(いながわもとこ(いながわもとこ)じむしょ)
2012,ノーマル,ヒトのX染色体、Y染色体のうち、男性にしかないのはどちらでしょう？,Y染色体(Yせんしょくたい)
2012,ノーマル,現在のところ直木賞の最年少受賞者で、かつ女性初の受賞者でもあるのは誰でしょう？,堤千代(つつみ・ちよ)
2012,ノーマル,イギリスの哲学者ベンサムや経済学者ミルなどに代表される、幸福を人生や社会の最大目的とする倫理・政治学説を「何主義」というでしょう？,功利主義(こうりしゅぎ)
2012,ノーマル,食品衛生法の規定に基づき、わが国で、放射線をあてることが許可されている唯一の食材は何でしょう？,ジャガイモ
2012,ノーマル,スノーボードのハーフパイプで、横に回転する技をスピンというのに対し、縦に回転する技を何というでしょう？,フリップ
2012,ノーマル,主に気孔で行われるものと、クチクラで行われるものの2種類に大別される、植物が体内の水分を外へ放出する現象を何というでしょう？,蒸散(じょうさん)
2012,ノーマル,2010年の日本の数値は 1.39とわずかに上昇傾向にある、一人の女性が一生に産む子供の平均数を何というでしょう？,合計特殊出生率(ごうけいとくしゅしゅっしょうりつ、ごうけいとくしゅしゅっせいりつ)【TFR、total fertility rate】(ごうけいとくしゅしゅっせいりつ(ごうけいとくしゅしゅっしょうりつ、ごうけいとくしゅしゅっせいりつ)【TFR、total fertility rate】)
2012,ノーマル,魚を焼く時に、焼けすぎを防ぐために焦げやすい尾と胸ビレにつける塩を何というでしょう？,化粧塩(けしょうしお)
2012,ノーマル,『旅の宿』『結婚しようよ』などの曲で知られる、1970年代から現在まで活動を続けるシンガーソングライターは誰でしょう？,吉田拓郎(よしだ・たくろう)
2012,ノーマル,祖母の旅館で若おかみとして修行する小学六年生・おっこの成長を描く、令丈(れいじょう)ヒロ子の児童文学作品は何でしょう？,『若おかみは小学生!』(わかおかみはしょうがくせい)
2012,ノーマル,アイスホッケーで、キーパーはパックを何秒以上持つと反則になるでしょう？,3秒(3)
2012,ノーマル,絵画『アラメダ公園の日曜日の午後の夢』を描いた、オロスコ、シケイロスと共にメキシコ三大壁画家と呼ばれる画家は誰でしょう？,ディエゴ・リベラ
2012,ノーマル,東京湾アクアラインは、神奈川県川崎市と千葉県の何市を結んでいるでしょう？,木更津(きさらづ)
2012,ノーマル,演劇プロデュースユニット「阿佐ヶ谷スパイダース」の主宰を務めている、妻に女優の常盤貴子(ときわ・たかこ)を持つ俳優は誰でしょう？,長塚圭史(ながつか・けいし)
2012,ノーマル,書画やサインなどで、誰に書いたものであるかを書き添えた言葉のことを何というでしょう？,為(ため)書き(ため(ため)かき)
2012,ノーマル,辛い調味料の原料になるワサビとカラシナは、共に何科の植物でしょう？,アブラナ科(あぶらなか)
2012,ノーマル,ラテン語で「繁殖させる」という意味の言葉に由来する、特定の思想・世論へ誘導する宣伝行為のことを一般に何というでしょう？,プロパガンダ
2012,ノーマル,第二次大戦後のブレトン・ウッズ体制において、1アメリカドルは何円に固定されていたでしょう？,360円(360),ブレトンウッズ体制とは、第二次世界大戦後の世界経済を安定させるため、米ドルを基軸に据えて為替相場を固定した国際通貨制度のことです。1944年に米国のブレトンウッズで開かれた会議で合意され、金・ドル本位制、固定相場制、国際機関の設立を主な特徴としてニクソンショックで米国の経済悪化とドルの流出入増加により崩壊するまで1971年まで続きました。
2012,ノーマル,ラグビーではゴールキックしたボールがクロスバーを越えて入ること、野球では専門である守備位置を変えることを共通して指す言葉は何でしょう？,コンバート
2012,ノーマル,接触させたレンズと透明な板に光を当てたとき、同心円状のリングが重なって見える現象のことを、ある物理学者の名をとって何というでしょう？,ニュートン・リング
2012,ノーマル,山形県、鳥取県、長崎県の県の鳥になっている、仲の良い夫婦を表現する際にも例えられる、カモ科の鳥は何でしょう？,オシドリ
2012,ノーマル,皮袋にみたした空気を押し出し/ながら吹きならす、スコットランドの民族楽器は何でしょう？,バグパイプ
2012,ノーマル,「負ける」という漢字の部首は「貝(かい)」ですが、「勝つ」という漢字の部首は何でしょう？,力(ちから)
2012,ノーマル,テニスで、前に出てきた相手の逆をついて、脇を抜いていくショットを英語で何というでしょう？,パッシングショット
2012,ノーマル,ヴィットリオ・デ・シーカ監督の映画『終着駅』の舞台となった、ローマの玄関口である駅は何駅でしょう？,テルミニ駅(ローマ・テルミニ駅)
2012,ノーマル,新潟県上越市が主宰する文学賞に名を残す児童文学作家で、代表作に『赤い蝋燭と人魚』などがあるのは誰でしょう？,小川未明(おがわ・みめい、おがわ・びめい)
2012,ノーマル,職業適正検査の一つ、クレペリン検査に名を残すクレペリンはどこの国の精神医学者でしょう？,ドイツ
2012,ノーマル,ブライアン、デニス、カールのウィルソン3兄弟を中心に結成されたアメリカのバンドで、『サーフィン・U.S.A.』で知られるのは何でしょう？,ザ・ビーチ・ボーイズ
2012,ノーマル,過去に 1952年と 1953年の2度だけ行われた、衆議院の解散中に急を要する場合、内閣の要請によって行われる集まりのことを何というでしょう？,緊急集会(きんきゅうしゅうかい)
2012,ノーマル,ロングセラーの参考書「赤尾の豆単」や、受験雑誌「蛍雪時代」で知られる出版社はどこでしょう？,旺文社(おうぶんしゃ)
2012,ノーマル,本名を菊次一弘(きくつぎ・かずひろ)という、昨年、日本人として4年ぶりの大関昇進を果たした佐渡ヶ嶽部屋に所属する力士は誰でしょう？,琴奨菊和弘(ことしょうぎく・かずひろ)【四股名の「琴奨菊」のみで○】(ことしょうぎくかずひろ(ことしょうぎく・かずひろ)【しこなの「ことしょうぎく」のみで○】)
2012,ノーマル,日本には河合隼雄(かわい・はやお)によって紹介された、砂の入った箱に玩具を自由に配置していくという心理療法の一種は何でしょう？,箱庭療法(はこにわりょうほう)
2012,ノーマル,昨年後半に大規模な氾濫が発生した、タイのアユタヤやバンコクを流れる川は何でしょう？,チャオプラヤー川(ちゃおぷらやーかわ)
2012,ノーマル,こんにゃくいもの国内生産量の 90%を占める、都道府県はどこでしょう？,群馬(ぐんま)
2012,ノーマル,バレエ音楽の『マ・メール・ロワ』『ダフニスとクロエ』、管弦楽曲の『ボレロ』で知られるフランスの作曲家は誰でしょう？,モーリス・ラヴェル
2012,ノーマル,かつて参議院で採用されていた選挙制度に由来する、全国的に知名度が高まることを表す言葉は何でしょう？,全国(ぜんこく)
2012,ノーマル,日本では弥生時代以降一般的になった、死者の両足を伸ばした姿勢で埋葬することを何というでしょう？,伸展葬(しんてんそう)
2012,ノーマル,別名を「レスト」という、ビリヤードで、手玉が遠くて打ちづらい位置にあるときに使う道具は何でしょう？,メカニカルブリッジ
2012,ノーマル,もともとは「江戸褄(えどづま)」と呼ばれる下半身の部分のみ模様が入った着物を指していた、既婚女性の礼装となる和服を何というでしょう？,留袖(とめそで)
2012,ノーマル,紫式部が『源氏物語』の構想を練った場所とされている、滋賀県大津市にある寺はどこでしょう？,石山寺(いしやまでら)
2012,ノーマル,モスクといえばイスラム教の礼拝所ですが、シナゴーグといえば何という宗教の礼拝所でしょう？,ユダヤ教(ゆだやきょう)
2012,ノーマル,森進一と森昌子の息子である Takaがヴォーカルを務める、代表曲に『完全感覚Dreamer』『アンサイズ二ア』などがあるロックバンドは何でしょう？,ONE OK ROCK(ワンオクロック)
2012,ノーマル,野球で、手のひらで押し出すようにして投げる変化球の一種を、「手のひら」を意味する英語を使って何というでしょう？,パームボール
2012,ノーマル,色の三原色といえば、赤・青・黄色ですが、光の三原色といえば赤･青と何でしょう？,緑(みどり)
2012,ノーマル,日本語では「扛重機(こうじゅうき)」という、車のタイヤ交換の時などに用いる、重い物を持ち上げる装置は何でしょう？,ジャッキ
2012,ノーマル,ドクター・マーチンやジョージ・コックスのものが有名な、/靴底がゴムで出来ている靴のことを何というでしょう？,ラバーソール
2012,ノーマル,宮城のお菓子メーカー・菓匠三全(かしょうさんぜん)が製造・販売している、カスタードクリームをカステラで包んだ仙台土産の定番といえば何でしょう？,萩の月(はぎのつき)
2012,ノーマル,毎年4月 20日頃に来る二十四節気のひとつで、穀物の芽を出させる雨が降ることを意味しているのは何でしょう？,穀雨(こくう)
2012,ノーマル,京都の鴨川を望める「山紫水明処(さんしすいめいのしょ)」という書斎で執筆活動を行なっていた、代表作に『日本政記』『日本外史』などがある歴史家は誰でしょう？,頼山陽(らい・さんよう)
2012,ノーマル,相撲で、幕内の取組における仕切りの制限時間は何分でしょう？,4分(4ふん)
2012,ノーマル,映画『君の名は』の後宮春樹役などで知られる往年の二枚目俳優で、中井貴恵(きえ)・貴一兄弟の父親に当たる人物は誰でしょう？,佐田啓二(さだ・けいじ)
2012,ノーマル,ファンタジー小説『ホビットの冒険』『指輪物語』を書いたイギリスの作家は誰でしょう？,J・R・R・トールキン
2012,ノーマル,アクチノイドとランタノイドは、共に何個の元素で構成されるでしょう？,15個(15こ)
2012,ノーマル,「ドル」と「ユーロ」に共通する補助通貨単位は何でしょう？,セント
2012,ノーマル,その様子が、牡丹、松葉、柳、散り菊の4段階に分けられる、花火といえば何でしょう？,線香花火(せんこうはなび)
2012,ノーマル,フランス語で「黄金の球」という意味がある、サッカーの年間世界最優秀選手に与えられる賞は何でしょう？,バロンドール
2012,ノーマル,鳥の鳴き声を聞きなしたもので、「法華経(ほっけきょう)」といえばウグイスの鳴き声ですが、「仏法僧(ぶっぽうそう)」といえば何の鳴き声でしょう？,コノハズク
2012,ノーマル,複式簿記で、資産や費用のことを「借方(かりかた)科目」というのに対して、負債や収益のことを「何科目」というでしょう？,貸方(かしかた)科目(かしかた(かしかた)かもく)
2012,ノーマル,米の作況指数で、「著しい不良」といえば、いくつ以下でしょう？,90
2012,ノーマル,伝統的なものでは弦は絹、胴はニシキヘビの皮で作られている、「蛇皮線(じゃびせん)」の別名もある奄美や琉球の民謡に欠かせない弦楽器は何でしょう？,三線(さんしん)
2012,ノーマル,俳優ジョン・トラボルタの出世作となった 1977年公開のジョン・バダム監督の映画で、当時のディスコ・ブームの火付け役となったのは何でしょう？,『サタデー・ナイト・フィーバー』
2012,ノーマル,江戸いろはがるたの「ほ」の札は「骨折り損のくたびれもうけ」ですが、京いろはがるたの「ほ」の札は何でしょう？,仏の顔も三度(ほとけのかおもさんど)
2012,ノーマル,総合格闘技の試合で選手が着用する、指部分が露出したグローブの名前は何でしょう？,オープンフィンガーグローブ
2012,ノーマル,1927年に勅使河原蒼風(てしがわら・そうふう)により創始された、池坊(いけのぼう)流、小原(おはら)流と共に華道の三大流派に数えられる流派は何でしょう？,草月(そうげつ)流(そうげつ(そうげつ)りゅう)
2012,ノーマル,都市が不規則に虫食い状態で拡大していくことを、何現象というでしょう？,スプロール現象(すぷろーるげんしょう)
2012,ノーマル,渋滞や交通規制などの情報をリアルタイムに送信し、カーナビに表示する「道路交通情報通信システム」のことを、アルファベット4文字で何というでしょう？,VICS(ビックス)
2012,ノーマル,1929年にアレキサンダー・フレミングによって青カビから発見された、世界初の抗生物質は何でしょう？,ペニシリン
2012,ノーマル,テニスのラケットやゴルフのクラブで、そこに当たると最も効果的な打球を生むとされる部分のことを何というでしょう？,スイートスポット
2012,ノーマル,正式には「女王陛下の宮殿にして要塞」という、夏目漱石の小説の題名にもなっているイギリスにある世界遺産は何でしょう？,ロンドン塔(ろんどんとう)
2012,ノーマル,ウバやディンブラといった紅茶の産地としても知られる、首都をスリジャヤワルダナプラコッテに置く国はどこでしょう？,スリランカ
2012,ノーマル,品質表示マークで、STマークはおもちゃにつけられますが、TSマークやBAAマークは何につけられるでしょう？,自転車(じてんしゃ)
2012,ノーマル,厚生労働省が「五大疾病」に指定している疾病は、がん、脳卒中、急性心筋梗塞、糖尿病と何でしょう？,精神疾患(せいしんしっかん)
2012,ノーマル,物事のたとえで、赤く錆びてしまった刀をあざける時、ある魚を使って何というでしょう？,赤鰯(あかいわし)
2012,ノーマル,紀元前 202年に漢の劉邦(りゅうほう)が楚(そ)の項羽(こうう)を倒した戦いで「四面楚歌」という故事の元となったのは何の戦いでしょう？,垓下(がいか)の戦い(がいか(がいか)のたたかい)
2012,ノーマル,2012年に行われるプロ野球のポストシーズンで、日本のクライマックスシリーズ進出するのは6チームですが、アメリカ・メジャーリーグのプレーオフに進出するのは何チームでしょう？,10チーム
2012,ノーマル,映画『メメント』『インセプション』『ダークナイト』などの作品でメガホンをとった、イギリス出身の映画監督は誰でしょう？,クリストファー・ノーラン
2012,ノーマル,今年行われた台湾総統選挙において、中国との対話政策を掲げて再選を果たしたのは誰でしょう？,馬英九(ば・えいきゅう、マー・インチウ)
2012,ノーマル,日本では古くから蘆薈(ろかい)と呼ばれ、「医者いらず」の別名でも知られるアフリカ原産の植物は何でしょう？,アロエ
2012,ノーマル,阪神・淡路大震災を教訓に制定された「防災とボランティアの日」は、何月何日でしょう？,1月 17日(1がつ 17にち)
2012,ノーマル,蛍光灯の原型や無線トランスミッターを発明し、現在は磁束密度の単位にその名を残す発明家は誰でしょう？,ニコラ・テスラ
2012,ノーマル,国際的なニーズを無視し、閉鎖的な環境で技術開発が進む現象を、太平洋に浮かぶ諸島に例えて「何現象」というでしょう？,ガラパゴス現象(がらぱごすげんしょう)
2012,ノーマル,カクテルで、ドッグス・ノーズ、パナシェ、シャンディ・ガフ、レッド・アイといえば、ベースとなるお酒は何でしょう？,ビール
2012,ノーマル,昨年の三井住友 VISA太平洋マスターズで史上3人目となるアマチュアでの日本ツアー優勝を果たした、東北福祉大学在学中のゴルファーは誰でしょう？,松山英樹(まつやま・ひでき)
2012,ノーマル,自転周期が 243日と、太陽系の惑星の中でいちばん長いのは何でしょう？,金星(きんせい)
2012,ノーマル,富士五湖があるのは山梨県ですが、三方五湖があるのは何県でしょう？,福井(ふくい)
2012,ノーマル,医療法において病院とは、ベッド数がいくつ以上と定められているでしょう？,20以上(20いじょう)
2012,ノーマル,恋人の美しさを太陽にたとえた、カプアが編曲したイタリア民謡は何でしょう？,『オー・ソレ・ミオ』
2012,ノーマル,1669年に起こった松前藩に対するアイヌ人たちの蜂起のことを、アイヌ人指導者の名前から「何の戦い」というでしょう？,シャクシャインの戦い(しゃくしゃいんのたたかい)
2012,ノーマル,アメリカンフットボールのポジションで、「DB」で表わされるのはディフェンスバックですが、「QB」で表わされるのは何でしょう？,クォーター・バック
2012,ノーマル,ゲーム雑誌「週刊ファミ通」を出版している出版社はどこでしょう？,エンターブレイン
2012,ノーマル,兄エドモン、弟ジュールのフランスの兄弟作家で、フランスで最も権威のある文学賞にその名を残しているのは誰でしょう？,ゴンクール兄弟(ごんくーるきょうだい)
2012,ノーマル,ニッケルとチタンで作るニチノールが代表的な、一度変形させても、加熱することで元の形状に回復する性質をもつ合金のことを何と言うでしょう？,形状記憶合金(けいじょうきおくごうきん)
2012,ノーマル,国内では電通と博報堂が二大大手である、メディアと広告主の仲介を行う企業を総称して何というでしょう？,広告代理店(こうこくだいりてん)
2012,ノーマル,主に巡業相撲で演じられる、禁じ手をおもしろおかしく紹介する余興を何というでしょう？,初っ切り(しょっきり)
2012,ノーマル,最近は妻・伊藤理佐との育児日記を描いている、代表作に『ちくちくウニウニ』『殴るぞ』『伝染るんです。』がある漫画家は誰でしょう？,吉田戦車(よしだ・せんしゃ)
2012,ノーマル,アフリカ大陸のザンビア共和国中部からコンゴ民主共和国南部にかけて広がる地域を、ある鉱物の生産地であることから何というでしょう？,カッパーベルト
2012,ノーマル,『植物の属』『自然の体系』などの著書があるスウェーデンの博物学者で、動植物を属名と種名で分ける「二名法」を提唱したのは誰でしょう？,カール・フォン・リンネ
2012,ノーマル,ギリシャ文字の最初の文字はアルファですが、最後の文字は何でしょう？,オメガ
2012,ノーマル,匈奴(きょうど)の捕虜となった李陵(りりょう)を弁護したため宮刑に処せられた、『史記』の作者である中国・前漢時代の歴史家は誰でしょう？,司馬遷(しばせん)
2012,ノーマル,コンサートで演奏する曲の一覧を順番に記した文書の事を何というでしょう？,セットリスト
2012,ノーマル,1987年に行われた第1回は藤谷美紀がグランプリを獲得した、オスカープロモーションが開催するタレントオーディションは何でしょう？,全日本国民的美少女コンテスト(ぜんにほんこくみんてきびしょうじょこんてすと)
2012,ノーマル,歌舞伎の舞台に設けられた、役者が下から登場するための穴のことを何というでしょう？,せり
2012,ノーマル,一度止めても数分後に再びアラームが鳴り出す、目覚まし時計の機能を何というでしょう？,スヌーズ
2012,ノーマル,第1回を山田太一の『異人たちとの夏』が受賞した文学賞に名を残す、『樅ノ木は残った』『赤ひげ診療譚』などの大衆小説が知られる作家は誰でしょう？,山本周五郎(やまもと・しゅうごろう)
2012,ノーマル,小学校で習う公式で、長方形の面積は「縦×横」ですが、平行四辺形の面積は「何×何」でしょう？,底辺×高さ(ていへん×たかさ)
2012,ノーマル,著書に『経済学および課税の原理』があり、自由貿易に関する比較生産費説を提唱したイギリスの経済学者は誰でしょう？,デヴィッド・リカード
2012,ノーマル,プロレスの技で、スリーパーホールドは「裸絞め」のことですが、オクトパスホールドは日本語で何という技のことでしょう？,卍固め(まんじがため)
2012,ノーマル,別名を「ガランチョウ」という、長い下くちばしの大きな袋を利用して魚を飲み込む事で知られる鳥は何でしょう？,ペリカン
2012,ノーマル,中島哲也(なかしま・てつや)監督によって映画化されることになった、人間を食べる巨人達とそれに対抗する兵士の姿を描いた、諫山創(いさやま・はじめ)の漫画は何でしょう？,『進撃の巨人』(『しんげきのきょじん』)
2012,ノーマル,タケノコの先端近くにある、薄く柔らかい皮を特に何というでしょう？,姫皮(ひめかわ)
2012,ノーマル,主にポピュラー音楽において、自ら作詞作曲した曲を歌う人のことを、英語で何というでしょう？,シンガーソングライター
2012,ノーマル,スティーブン・キングの短編小説『The Body』を原作とする、/死体探しの旅に出る少年たちを描いた、ロブ・ライナー監督の映画は何でしょう？,『スタンド・バイ・ミー』(スタンドバイミー)
2012,ノーマル,瀬戸内海の風景を詠んだ「春の海ひねもすのたりのたりかな」という俳句で知られる俳人は誰でしょう？,与謝蕪(よさ・ぶ)
2012,ノーマル,今までに、カナダでオリンピックの開催地となった3つの都市とは、モントリオール、バンクーバーと 1988年のどこでしょう？,カルガリー
2012,ノーマル,代表作に『二人の貴婦人』があるイタリアの画家で、牛肉や魚の薄切りをオリーブ油などと和えた料理に名を残すのは誰でしょう？,ヴィットーレ・カルパッチョ
2012,ノーマル,県内が大きく、村山地方、置賜(おきたま)地方、庄内地方、最上(もがみ)地方に分けられる東北の県はどこでしょう？,山形(やまがた)
2012,ノーマル,「槍」という意味の「ラス・ランサス」という愛称で親しまれている、スペインの画家ベラスケスの代表作は何でしょう？,『ブレダの開城』(『ぶれだのかいじょう』)
2012,ノーマル,日本では大井川鐵道井川線でのみ採用されている、急勾配を上り下りするための鉄道の方式で、考案したスイス人技師の名がついているのは何でしょう？,アプト式(アプト)
2012,ノーマル,英語では「ジャパニーズ・フレッシュウォーター・クラブ」という、一生を淡水で過ごすことで知られる日本固有種のカニは何でしょう？,サワガニ
2012,ノーマル,方角を表す「東」「西」「南」「北」を漢字で書いたとき、一番画数が多いのはどれでしょう？,南(みなみ)
2012,ノーマル,もともとは日露戦争で日本が獲得したロシアの病院船であった、1908年に第1回ブラジル移民を運んだ船は何でしょう？,笠戸丸(かさとまる)
2012,ノーマル,イタリアのサッカーファンや、F1のフェラーリのファンのことを、「チフスにかかった人」を意味するイタリア語で何というでしょう？,ティフォシ
2012,ノーマル,その名は「ライオンの山」という意味のポルトガル語に由来する、首都をフリータウンに置く西アフリカの共和国はどこでしょう？,シエラレオネ
2012,ノーマル,18世紀のヨーロッパで流行した中国趣味の美術様式のことを、フランス語で何というでしょう？,シノワズリ
2012,ノーマル,ソロ歌手としても 1996年にシングル『田園』を大ヒットさせている、ロックバンド「安全地帯」のボーカルは誰でしょう？,玉置浩二(たまき・こうじ)
2012,ノーマル,「幕が切って落とされる」という言葉の由来となっている、歌舞伎で使われる薄い青色の幕は何でしょう？,浅葱幕(あさぎまく)
2012,ノーマル,ラグビーのラインアウトで、ボールを真っ直ぐに投げ入れない反則を何というでしょう？,ノットストレート
2012,ノーマル,歌手のアル・ジョルソンによる「お楽しみはこれからだ」という映画史上初めてのセリフが登場した、1927年公開の世界初のトーキー映画は何でしょう？,『ジャズ・シンガー』
2012,ノーマル,マンドリンの演奏家でもあった群馬県生まれの詩人で、詩集『青猫(あおねこ)』や『月に吠える』で知られるのは誰でしょう？,萩原朔太郎(はぎわら・さくたろう)
2012,ノーマル,紀元前 140年から 135年まで使われていた、中国で最初の元号は何でしょう？,建元(けんげん)
2012,ノーマル,英語では「オポチュニスティック・インフェクション」という、健康なヒトでは感染しない病原体がおこす感染症を何というでしょう？,日和見感染症(ひよりみかんせんしょう)
2012,ノーマル,経済産業省の3つの外局とは資源エネルギー庁、中小企業庁とあと一つは何でしょう？,特許庁(とっきょちょう)
2012,ノーマル,2012年の6月9日からサッカーの欧州選手権が開催される2つの国とはポーランドとどこでしょう？,ウクライナ
2012,ノーマル,正距方位図法の世界地図においては円周上に現れる、地球上のある地点からちょうど反対側にある点のことを何というでしょう？,対蹠点(たいせきてん、たいしょてん)
2012,ノーマル,「カクテルの王様」とも呼ばれる、ジンとベルモットで作られるカクテルは何でしょう？,マティーニ
2012,ノーマル,朝鮮語で「桔梗」という意味の、アリランと共に世界中に広く知られている朝鮮民謡は何でしょう？,『トラジ』
2012,ノーマル,大事業は長期間の努力なしには完成しないということを、ある都市の名前を用いて何というでしょう？,ローマは一日にして成らず(ろーまはついたちにしてならず)
2012,ノーマル,槍の名手としても知られ、勝海舟、山岡鉄舟とともに幕末の三舟(さんしゅう)と呼ばれた幕臣は誰でしょう？,高橋泥舟(たかはし・でいしゅう)
2012,ノーマル,登山で、複数の登山者が危険な場所に登るときに、お互いの体をザイルで結び合うことを何というでしょう？,アンザイレン
2012,ノーマル,「持ち主こそが主人」という考え方によって、マークとなっている幌つきの四輪馬車には馬と従者だけしか描かれていない、「バーキン」や「ケリーバッグ」などで知られるブランドは何でしょう？,エルメス
2012,ノーマル,エミリア、キャシオー、イアーゴ、デズデモーナなどが登場する、シェイクスピアの四大悲劇の一つは何でしょう？,『オセロ』
2012,ノーマル,日照り続きのとき、雨が降るように神や仏に祈ることを何というでしょう？,雨乞い(あまごい)
2012,ノーマル,全天に 88ある星座のうち、2等星の数が6個と最も多い星座は何でしょう？,おおぐま座(おおぐまざ)
2012,ノーマル,日本経済新聞社が発表する「日経平均株価」の算出の対象となる、東証一部上場銘柄は全部でいくつでしょう？,225銘柄(225めいがら)
2012,ノーマル,フジテレビの場合は「JOCX-TV」である、放送局に割り当てられた識別信号を何というでしょう？,コールサイン
2012,ノーマル,陸上競技場で、周回走路をトラックというのに対し、投擲(とうてき)や跳躍を行う部分のことを何というでしょう？,フィールド
2012,ノーマル,昨年 12月に行われたロシア下院議員選挙において当選を果たした、女性初の宇宙飛行士として知られる人物は誰でしょう？,ワレンチナ・テレシコワ
2012,ノーマル,オブリーク、ポインテッド、スクエア、ラウンドなどの種類がある、靴のつま先部分の形状を意味するファッション用語は何でしょう？,トゥ
